Work ID,Title,Author,Series,First Publisher,Last Updated By,Thumbnail Picture,Ratings
24075,Arty Square,Maya Oki,,Mangaseek Editorial Department (2003-01-10 16:24:13),Kono (2015-07-20 10:11:31),,2
29335,ARTIFACT;RED,Kimura Tahiko,,Mangaseek Editorial Department (2004-04-23 21:52:49),Kono (2015-07-20 10:14:05),,2
22756,The Artificial Angel,Sei Kizaki,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:06:18),,4
75015,"All I can say is ""ahh"" or ""uhh.""",Kondo Shoma,,Cockroach (2020-11-27 21:58:34),Cockroach (2020-11-27 21:58:34),,4
31767,Art Appraiser DARUMA,Ranbo Ryota,"Big Comic Original Special Issue [Bimonthly (marked as ""Special Issue of XX Month"")]
[August 2002]
Note: September 12, 2002 issue",Mangaseek Editorial Department (2007-06-04 00:28:47),Kono (2015-01-16 20:37:20),,1
67272,ART GYANGSTA,Masahiro Saito,"Young King serialization ended
[until June 2019]
Notes: until issue 13 of 2019 (released June 10, 2019)",Morizaru (2019-06-16 18:30:16),Morizaru (2019-06-16 18:30:16),,3
31782,Art Detective DARUMA,Takao Saga (Tsukidate Hotorito),"Big Comic Original Special Issue [Bimonthly (marked as ""Special Issue of Month"")]
[June 2003]
Notes: July 12, 2003 issue, May 12, 2006 issue",Mangaseek Editorial Department (2007-06-05 19:55:55),Kono (2015-07-20 10:15:26),,2
90754,Art Sacrifice,John K. Peita,"COMIC Megaplus ""Comic Megastore"" special edition, one-shot

Notes Vol.39",Morizaru (2023-02-23 22:21:57),Morizaru (2023-02-23 22:21:57),,3
16590,Art Pepper,"Hisano Ikegami

Shotaro Ishinomori

(Shotaro Ishinomori)

[Illustration]","FM Recopal
[October 1978]
Notes: Issue 22, 1978 (published October 16th)",Mangaseek Editorial Department (2002-11-16 15:31:03),Guest (2016-01-16 01:46:14),,3
41833,ATRAIL Nisekai's Daily Life and Annihilation Elements,"Akihiko Higuchi
[Manga]
Goro Taniguchi
[Screenplay]","ComicWalker
[October 2015]
Notes: Released on October 12, 2015
Comic Newtype serialization ended",Masuke (2016-01-23 08:57:39),Masuke (2016-01-23 08:57:39),,5
19381,Anya-chan appears in Shibuya,Reiji Hagiwara,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:07:38),,2
9378,Ernest Jive,Riho Yagizawa,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:09:54),,3
31085,Arnold,Hideyasu Moto,"Garo serialization ended
[June 1997 - August 1997]
Notes: Added and revised in ""Quick Japan vol. 15"" published on August 25, 1997",Mangaseek Editorial Department (2004-08-20 14:07:12),daisuke (2022-06-29 14:40:12),,2
14122,A.B.C.,"Hiroshi Shiono
[Illustrator]

Satoru Akahori
[Original Story]",,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:10:59),,5
82449,Urban Adventure,Kosaku Anakubo,"Bears Club One-shot
[April 1989]
Notes June 1989 issue (released April 25, 1989)",Morizaru (2021-09-22 19:58:33),Morizaru (2021-09-22 19:58:33),,5
12282,Urban Night Story!! The Go-Ro,"Higaki Norio
[Illustrator] Major Work

Saotome Masayuki
[Original Story]",,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:05:49),,5
90696,Lonesome Wolf: The Secret Story of the Urban Ninja,Noriko Nagano,"Magazine data unknown/unregistered One-shot
[April 1991]
Notes: Quarterly VANDA issue 2",Fushimi-an (2023-02-21 21:32:21),Fushimi-an (2023-02-21 21:32:21),,2
51873,Ahh idiot,Susumu Katsumata,"Garo One-shot
[1969]
Notes December 1969 issue",Morizaru (2017-04-25 20:33:28),Morizaru (2017-04-25 20:33:28),,4
45692,ARMORED,Yusaku Shibata,"Akamaru Jump One-shot
[August 2009]
Notes 2009SUMMER",Tofana Water (2016-07-24 10:57:14),Tofana Water (2016-07-24 10:57:14),,3
20974,Army Farewell,Jurgen Seebeck,"Wander
[1997]",Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:07:10),,4
21727,Arm Jaw,Masayuki Izumi,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:06:50),,4
16262,ARMS,"Shichigatsu Kyoichi

Credit: ""Original Concept Cooperation""
Minagawa Ryoji
[Illustration] Representative Work","Weekly Shonen Sunday End of serialization
[1997-2002]
Notes: Issue 16, 1997 - Issue 20, 2002",Mangaseek Editorial Department (2003-10-31 03:46:07),Masuke (2015-07-28 17:25:20),,4
93747,ARMS Amazing Gag Fight!,SakiRyo,"CoroCoro Ichiban! Serialization ended
[September 2017 - April 2017]
Notes November 2017 issue - June 2018 issue",daisuke (2023-06-07 19:46:23),daisuke (2023-06-07 19:46:23),,1
45964,"Armstrong, the first astronaut to set foot on the moon",Kamui Fujiwara,"Weekly Manga World's Greatest People One-shot
[August 2013]
Notes: Published in Issue 80 (released August 20, 2013, final issue)",Masuke (2016-08-05 23:34:03),Masuke (2016-08-05 23:34:03),,3
74804,Armed Arm,"Hashimoto Kan
(Uran)","Young King serialization ended
[December 2009 - January 2011]
Notes: One-shot: 2010 No.1, No.5, serial: No.11 - No.15, No.17 - 2011 No.2",daisuke (2020-11-21 08:41:34),daisuke (2020-11-21 08:41:34),,4
68735,The secret of hyaluronic acid,Mari Akino,,Morizaru (2019-10-12 14:47:47),Morizaru (2019-10-12 14:47:47),,3
37792,Are you happy?,Potato Chips Jiro,Currently serialized in Weekly Gendai,Kono (2015-09-14 13:40:08),Kono (2015-09-14 13:40:33),,3
91831,ARE YOU HOT?,KEPPI,"COMIC Penguin Club Sanzokuban [(~June 2012 issue)] One-shot
[August 2002]",Fushimi-an (2023-03-27 21:17:44),Fushimi-an (2023-03-27 21:17:44),,5
92815,AYUS Second Life Form,Kazuko Tadano,"Shonen Ace: End of serialization [August 1995]
Notes: October 1995 issue onwards",Morizaru (2023-05-04 11:23:05),daisuke (2023-06-03 00:43:34),,5
43878,Ara-kun,"Nihon University Kenji (Katsuta Kazuyoshi)

Published in the September 28, 1975 issue of Shonen King Special Edition (Shonen King Original)","Weekly Shonen King Special Edition KING Original One-shot
[September 1975]
Notes: Published in the September 28, 1975 issue of Special Edition Shonen King (Shonen King Original)",Guest (2016-04-05 00:05:32),Morizaru (2016-04-05 23:13:50),,5
2492,"Ah, my lord!","Kihara Toshie

Kihara Toshie

(Kihara Toshie)","Weekly Margaret [1963-1987] Serialization ended
[1973]
Notes: From issue 45, 1973",Mangaseek Editorial Department (2002-11-16 15:31:03),Masuke (2019-04-16 21:11:55),,4
28831,Early Green Firelord,Junko Ato (Amoe Jun),"Hana Yume EPO
[May 1988]
Notes May",Mangaseek Editorial Department (2004-02-28 14:16:39),Kono (2015-07-20 10:13:32),,3
85058,Early Summer,Kaya Shigisawa,"Paradise Web Special Edition, One-shot
[April 2016]",Fushimi-an (2022-03-11 23:45:57),Fushimi-an (2022-03-11 23:45:57),,2
86037,Early Lemon,clay.,,Fushimi-an (2022-06-07 22:03:11),Fushimi-an (2022-06-08 23:08:10),,5
45255,Early can't get out of the forest.,Keiji Najima,"Magazine SPECIAL [1983-] Serialization ended
[June 2016 - January 2017]
Notes Issue 7, 2016 - Issue 2, 2017",Tofana Water (2016-06-20 23:38:27),Tofana Water (2017-01-20 23:20:47),,2
51158,R,Tsurikuni,"Garo One-shot

Notes: Published in the combined February/March 1981 issue",Masuke (2017-04-12 22:32:26),Masuke (2017-04-12 22:32:26),,4
41867,The story behind the birth of the RX-78,"Noboru Aikawa

Composition: Noboru Aikawa

Kunio Okawara

Mechanical design
Yuji Hosoi
[Art]

Yoshiyuki Tomino
[Original work]

Craft Group
[Planning]

Takahiro Yamada
[Cooperation]
Mechanical design cooperation","Gundam Magazine One-shot
[December 1990]
Notes No.1 (Comic Bonbon December 1990 special issue)",Morizaru (2016-01-24 15:57:23),Morizaru (2016-01-24 15:57:23),,5
29725,R.O.D -READ OR DREAM-,"Ran Ayana
[Illustration]

Hideyuki Kurata
[Story]",Ultra Jump serialization ended,Mangaseek Editorial Department (2004-05-01 01:02:18),Hyakumi (2020-09-12 07:56:42),,5
19917,R.O.D -READ OR DIE-,"Yamada Akitaro
[Illustration]

Kurata Hideyuki
[Story]",,Mangaseek Editorial Department (2003-09-18 17:06:53),Hyakumi (2020-09-12 08:00:33),,1
72497,R.O.D -REHABILITATION-,"Fujichoco
[Manga]

Hideyuki Kurata
[Original work]

Studio Orpheus is also listed in the credits",Super Dash & Go! Serialization ended,Hyakumi (2020-09-12 08:06:39),Hyakumi (2020-09-12 08:06:39),,4
19184,The elegant life of Mr. Earl Grey,Goto Star,,Mangaseek Editorial Department (2004-05-05 22:41:28),Kono (2015-07-20 10:14:23),,5
50880,Earl Grey for six!,Hiroko Tsujimura,"Bessatsu Friend [1965-1984] One-shot
[July 1977 - August 1977]
Notes August 1977 issue - September 1977 issue",Morizaru (2017-03-31 23:30:05),daisuke (2022-11-04 18:47:06),,2
77226,R.G.B!,"Shirogane Hina
[Art]

Ago Barrier
[Original Story]

Hiro Suzuhira
[Character Design]","Dengeki Moeoh Serialization ended
[December 2009 - December 2011]
Notes February 2010 issue - February 2012 issue",daisuke (2021-02-06 12:19:07),daisuke (2021-02-06 12:19:07),,3
10809,RC Fight to Make amends,"Kennosuke Sakaoka
(Noboru Sakaoka)","Fresh Jump serialization ended
[November 1984 - May 1985]
Notes: December 1984 issue, February 1985 issue (February 23rd issue) - June 1985 issue",Mangaseek Editorial Department (2003-12-17 12:41:15),Masuke (2015-11-25 16:31:38),,2
23300,Rated R,"Souichi Moto

Reiko Yoshihama
[Screenplay cooperation]",,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:05:55),,5
99267,R-rated Love,Takanabe Chitose,,Fushimi-an (2024-01-23 20:25:38),Fushimi-an (2024-01-23 20:25:38),,4
86291,Is R15+ not okay?,"Nagi Uraya
[Manga]

Todoroki Kishitani
[Planning and concept]","Currently serialized in Comic Days
[April 2022]
Notes: Published from April 4, 2022",Morizaru (2022-07-27 21:21:12),Morizaru (2023-11-12 08:43:13),,5
45289,R18!,Purapa Representative work,"Manga Time Kirara MAX: End of serialization
[September 2007 - December 2013]
Notes: November 2007 issue (released September 19th) - February 2014 issue (released December 19th, 2013)
Manga Time Kirara Carat: One-shot
[December 2008 - January 2012]
Notes: Guest appearance in February 2009 issue (released December 27th, 2008) and March 2012 issue (released January 28th)
Manga Time Kirara: One-shot
[March 2010]
Notes: Guest appearance in April 2010 issue (released March 9th)",Guest (2016-06-21 07:02:46),Hyakumi (2021-01-16 19:23:56),,2
45551,R-16,"Shinya Kuwahara
[Illustrator]

Hiroto Saki
[Original Story]","Transferred to Young Magazine Uppers
[2002-2004]
Notes: Issue 21, 2002 - Issue 21, 2004
Ended serialization in Young Magazine
[2005-2007]
Notes: Issue 14, 2005 - Issue 46, 2007",Morizaru (2016-07-09 21:04:50),Morizaru (2016-07-09 21:04:50),,3
33769,[R-16]R,"Naoki Higashi
[Illustrator]

Hiroto Saki
[Original Story]","Monthly Young Magazine serialization ended
[2014-2017]
Notes Issue 4, 2014 - Issue 11, 2017",Morizaru (2015-06-29 22:07:59),Kono (2015-06-29 22:07:59),,3
36033,R-Junior high school students,Yukiko Goto's masterpiece,"Transferred to Bessatsu Young Magazine
[2009]
Notes: Issue 35, 2009

Monthly Young Jump
[2009]
Notes: Issues 1-4, 2010

Ended serialization in Young Magazine
[2009]
Notes: Issue 32, 2009, Issues 25-33, 2012, Issues 10-13, 15-17, 19-21, 24-26, 2013",Kono (2015-08-12 22:36:15),Kono (2015-08-12 22:36:15),,2
27460,R2 TRAFFIC ACCIDENTS FILE,"Kizaki Sei
[Illustrator]

Kaji Kengo
[Original Story]","Oh! SUPER JUMP serialization ended
[~2003]
Notes ~August 25, 2003 issue",Mangaseek Editorial Department (2003-09-20 01:29:29),daisuke (2022-12-14 16:00:57),,1
20863,R² [rise R to the second power],Maki Hakoda,"Transferred to Monthly Comic Blade
[May 2002]
Notes: Started serialization in the May 2002 issue, then moved to Comic Blade BROWNIE after a long hiatus
Comic Blade BROWNIE one-shot
[December 2008]
Notes: Vol. 1 (published only in this issue due to magazine suspension)",Mangaseek Editorial Department (2002-12-14 14:06:02),daisuke (2022-12-14 16:08:07),,1
53858,rpm,Masahiko Ishikawa,"Fresh Jump One-shot
[June 1985]
Notes July 1985 issue",Morizaru (2017-06-29 22:02:14),daisuke (2022-09-06 13:50:12),,1
16139,R.P.G.,Osamu Akimoto,"Weekly Shonen Jump One-shot
[1997]
Notes Issue 27, 1997",Mangaseek Editorial Department (2007-06-28 22:35:29),Masuke (2015-11-25 21:21:17),,2
58626,RPG Detective,Naoya Fujita,"Weekly Shonen Champion One-shot
[March 1995]
Notes: Issue 14, 1995 (March 16th issue)",Morizaru (2018-02-02 17:08:11),Morizaru (2018-02-02 17:08:11),,5
21496,RPGs are not scary!,Koide Taku,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:06:58),,5
87773,"I was reincarnated as a villain in a RPG, but I want to survive","Yosei
[Illustration]

Okazawa Rokujushi
[Original Story]

Yugiri
[Screenplay]",Piccoma,Morizaru (2022-11-26 14:08:15),daisuke (2022-11-26 18:23:23),,4
75774,RPG Gate,C38 Broken Book,,Fushimi-an (2020-12-30 12:33:28),Fushimi-an (2020-12-30 12:33:28),,5
65826,RPG Real Estate,"Kenmochiyo
Masterpiece","Manga Time Kirara Carat Serialization ended
[April 2018 - October 2023]
Notes June 2018 issue (released April 28th) - December 2023 issue (released October 27th)",Masuke (2019-04-30 20:34:43),Hyakumi (2021-03-01 19:55:04),,3
49424,R46,Michihiko Fujiei,"Monthly Comic Zenon One-shot
[January 2017]
Notes March 2017 issue",Tofana Water (2017-01-25 21:00:05),Tofana Water (2017-01-25 21:00:05),,1
67940,R402,Nakamura Uzuki,Monthly Young King Ours GH serialization ended,Morizaru (2019-07-14 13:04:48),daisuke (2022-11-27 10:23:15),,2
77071,Ahhh ♥ A happy supplement for your mouth,Amagi Sayuri,MiChao! serialization ended,daisuke (2021-02-01 12:16:26),daisuke (2021-02-01 12:16:26),,3
15068,Ahhh hot,Uchida Shungiku,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:11:11),,4
15074,Ahhh all over my body,Uchida Shungiku,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:11:11),,3
97939,"Ah, running away from home",Takashi Saito,"Bessatsu Shonen Jump, one-shot
[December 1971]
Notes: 1972 New Year issue",Morizaru (2023-12-23 18:54:48),Morizaru (2023-12-23 18:54:48),,2
71967,"Ah, a hero",Miyako,"Manga Time Kirara Miracle One-shot
[April 2015 - July 2015]
Notes June 2015 issue (released April 16th) - September 2015 issue (released July 16th)",Hyakumi (2020-09-03 22:37:17),Hyakumi (2020-09-03 22:37:17),,5
50541,"Ah, 1 Gram of Youth",Homma Chieko,,Morizaru (2017-03-24 22:31:55),daisuke (2022-08-16 15:10:44),,1
2970,Ah Ichiro,Koseki Koji,"Weekly Shonen Jump End of serialization
[1980-1981]
Notes: Issue 32, 1980 - Issue 19, 1981",Mangaseek Editorial Department (2004-01-06 23:19:05),Masuke (2015-10-29 15:05:32),,1
32288,"Ah, my dear leader",Fujikata eyebrows,"LaLa DX
[October 2005]
Notes November 2005 issue, November 2006 issue, March 2007 issue
LaLa
[February 2006]
Notes April 2006 issue, July issue to September issue, November issue to January 2007 issue, March issue to May issue, July issue to",Mangaseek Editorial Department (2007-07-12 02:02:22),Morizaru (2015-07-26 23:48:09),,4
21608,"Ah, the crown of glory is yours",Seiji Hara,"Weekly Young Sunday [1995-]
[April 2000]",Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:06:54),,5
91989,"Ah, Okinawa Children's Corps","Sachio Umemoto
[Manga]
Kazuya Fukumoto
[Original work]","Weekly Shonen Magazine One-shot
[January 1968]
Notes July 1968 issue (February 11 issue)",Morizaru (2023-04-06 11:45:45),Morizaru (2023-04-06 11:45:45),,1
9044,Ah! Men's Tears Academy,Dragonfly House,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:09:53),,3
86911,"Oh, Sad Pest Blues",Watari Chie,"Lovely Friend One-shot

Notes February 1982 issue",Morizaru (2022-09-26 21:43:13),Morizaru (2022-09-26 21:43:13),,4
94227,"Ah, I misunderstood!",Yoko Hashimoto,"Ribbon one-shot
[August 1981]
Notes September 1981 issue",daisuke (2023-06-27 17:15:05),daisuke (2023-06-27 17:15:05),,3
59737,Ah! Vampire,Tatsuo Oda,"Bessatsu Shonen Jump One-shot
[March 1970]
Notes April 1970 issue",Morizaru (2018-04-08 03:55:42),Morizaru (2023-12-21 21:11:59),,1
57931,"Ah, ball spirit",Shinji Mizushima,"Bessatsu Shonen King One-shot

Notes February 1969 issue",Masuke (2018-01-15 17:48:20),Masuke (2018-02-07 15:15:39),,1
75604,Ah! Old car club,"Asahi Rintaro
[Manga]

Iwahashi Kenichiro
[Original concept and supervision]","Young Champion serialization ended
[September 2006 - April 2008]
Notes: No. 19, 2006 - No. 8, 2008",daisuke (2020-12-24 09:31:15),daisuke (2020-12-24 09:31:15),,5
98385,Oh brother,Yoshinobu Numa,"Monthly Shonen Jump One-shot
[April 1975]
Notes May 1975 issue",Morizaru (2023-12-31 18:53:14),Morizaru (2023-12-31 18:53:14),,5
97909,Ah! Marriage,Kimio Yanagisawa,"Bessatsu Shonen Jump One-shot
[September 1971]
Notes October 1971 issue",Morizaru (2023-12-23 11:50:30),Morizaru (2023-12-23 11:50:30),,2
50931,Ah! The transformation of a love-oblivious fool,Hiroko Tsujimura,Girl Friend One-shot,Morizaru (2017-04-03 00:00:47),Morizaru (2017-04-03 00:00:47),,3
26407,Ah!! Koshien,"Mitsuyoshi Sonoda
[Illustrator]
Yutaka Irie
[Original Story]","Weekly Shonen Sunday End of serialization
[1968-1968]
Notes Issue 29, 1968-Issue 38, 1968",Mangaseek Editorial Department (2003-05-14 23:48:36),Kono (2015-07-20 10:11:52),,5
21477,"Oh Lord, this joy",Yoshinaga Fumi,"Doujinshi
[December 1997]
Notes: Published by the Osawa Housekeepers Association/""Oh Lord, This Joy""",Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-20 10:06:57),,4
18804,Ah! Pure Love Banchou,Koji Onodera,,Mangaseek Editorial Department (2002-11-16 15:31:03),Kono (2015-07-10 09:13:46),,5
83599,"Ah, innocent bitch",Summer,"Comic Megastore One-shot

Notes February 2012 issue",Fushimi-an (2021-11-13 23:27:13),Fushimi-an (2021-11-13 23:27:13),,5
53146,"Ah, cohabitation",Atsuko Okamoto,"Petit Comic serialization ended
[November 1979 - August 1980]
Notes December 1979 issue - September 1980 issue",Monaka (2017-05-27 11:07:06),Monaka (2017-05-27 11:07:06),,2
62074,Ah Youth,Masamichi Yokoyama,"Deluxe Shonen Sunday serialization ended
[April 1969]
Notes May 1969 issue (first issue), June issue, July issue, August issue, September issue",Morizaru (2018-08-11 17:47:06),Morizaru (2018-08-11 17:47:06),,3
83142,"Ah, the double dribble of youth",Yuuta Okumotto,"COMIC Kairakuten One-shot
[September 2021]",Fushimi-an (2021-10-07 21:37:24),Fushimi-an (2021-10-07 21:37:24),,3
51944,"Oh, my dear friend",Yamada Murasaki,"Garo One-shot
[1971]
Notes February 1971 issue",Morizaru (2017-04-26 19:17:17),Morizaru (2017-04-26 19:17:17),,2
42824,"Ah, the Battleship Yamato",Seiichi Sakamoto (Himoto Taro),Newly drawn Newly drawn,Morizaru (2016-02-23 21:32:44),Morizaru (2016-02-23 21:32:44),,3
25739,Ah Detective Agency,"Shunzo Sekizaki
Masterpiece","Young Animal serialization ended
[July 2000]
Notes: From issue 14 of 2000",Mangaseek Editorial Department (2003-10-29 20:32:38),Kono (2015-07-05 20:45:09),,5
89732,"Ah, thank you for waiting!!",Hyoutakayuki,COMIC Penguin Club Sanzokuban [(~June 2012 issue)],Fushimi-an (2023-01-20 23:42:07),Fushimi-an (2023-01-20 23:42:07),,1
64455,"Ah, the goddess of job hunting!","Yoshizuki Kumichi
[Manga]

Aoki Uhei
[Original Story]

Fujishima Kosuke
[Cooperation]","Afternoon serialization ended
[January 2019 - October 2021]
Notes March 2019 issue (released January 25th) - December 2021 issue",Guest (2019-01-26 18:25:59),daisuke (2023-01-26 10:53:17),,3
76583,"Ah, Youthful Onanist",Satomi Ayase (Soudabanira),Comic Kairakuten One-shot,Fushimi-an (2021-01-19 01:25:35),Fushimi-an (2024-04-04 21:34:54),,3
6205,Oh My Goddess,Kosuke Fujishima,"Afternoon End of serialization
[September 1988 - April 2014]
Notes November 1988 issue - June 2014 issue
Comic DAYS
[March 2018]
Notes Reprint: Published on March 1, 2018 (all episodes)",Mangaseek Editorial Department (2004-05-01 10:21:31),Morizaru (2018-08-08 13:41:57),,4
19028,"Ah My Goddess, being small is convenient",Kosuke Fujishima,"Afternoon, serialization ended
[August 1990 - December 1992]
Notes: October 1990 issue - February 1993 issue (From the first issue to the June 1991 issue, it was titled ""Urd's smallness is..."", July 1991 issue - August issue, November 1991 issue - March 1992 issue, May issue - February 1993 issue, ""Urd and Skuld's Urd's smallness is convenient"", September issue - October issue of 1991, ""Urd's smallness is convenient"")",Mangaseek Editorial Department (2003-04-01 16:11:31),Guest (2015-12-30 17:18:35),,3
58007,"Ah, Drunken Fist",Sugar Snow,"Weekly Shonen Champion One-shot
[June 1980]
Notes: Issue 27, 1980 (June 30th issue)",Morizaru (2018-01-18 18:55:01),Morizaru (2018-01-18 18:55:01),,3
51593,"Ah, My 50 Years with the Emperor",Shigeru Mizuki,"Half manga, half fun, special edition, one-shot
[1976]
Notes: First issue published in 1976",Morizaru (2017-04-24 12:10:27),daisuke (2022-09-30 13:46:32),,4
39389,"Ah, the Love Gigolo",Shinji Hiramatsu,,Morizaru (2015-11-04 22:00:54),Morizaru (2015-11-04 22:00:54),,4
52428,"Ah, the bells of Nagasaki are ringing",Hiroshi Takita (Yu Takita),"Magazine data unknown/unregistered
[1958]",Morizaru (2017-05-06 22:08:32),Morizaru (2017-05-06 22:08:32),,1
49910,"Ah, Japanese Activities Y Photo Youth Film Struggle Chronicles",Masaoka Toshiya,Manga Sunday,Morizaru (2017-02-23 19:26:42),daisuke (2022-09-24 13:28:37),,5
