Work ID,Title,Credit(Different PN),First published,First published in,evaluation,review
32582,Fruit Sisters Fighting Chronicles Adults Only;;;;KajitsushimaiFunsenki;KajitsushimaiFunsenki;Fruit Sisters Fighting Chronicles KajitsushimaiFunsenki KajitsushimaiFunsenki,(R Koga),NULL,NULL,0,NULL
32622,Duct tape for adults only;;;;Dumb tape;Dumb tape Duct tape Duct tape,(R Koga),NULL,NULL,0,NULL
32584,Educational training for adults only;;;;;Educational training;Educational training;Educational training;Educational training;Educational training;Educational training;Educational training,(R Koga),NULL,NULL,0,NULL
32614,Brother and sister but act like strangers (Adults only),(R Koga),NULL,NULL,0,NULL
32630,"Metal penis, adult rated;;;;;;metal penis;metal penis, metal penis, metal penis",(R Koga),NULL,NULL,0,NULL
32600,Stepsister (Adult),(R Koga),NULL,NULL,0,NULL
18568,Cosplay detective serialization ended;;;;;Cosplay big;Cosplay big;Cosplay detective Cosplay big Cosplay big,(Kimoto Inaba),1997,Young King Ours,0,NULL
32570,"Although it's a kitten, it's an adult designation Although it's a kitten;",(R Koga),NULL,NULL,0,NULL
32572,Kitten's Lullaby Adult rated;;;;;Kitten's Lullaby;Kitten's Lullaby;Kitten's Lullaby Kitten's Lullaby,(R Koga),NULL,NULL,0,NULL
32566,"Sunshine through the trees, adult rated;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;",(R Koga),NULL,NULL,0,NULL
32591,Tanning party (for adults only) ;;;;; Tanning party; Tanning party; Tanning party Tanning party Tanning party Tanning party,(R Koga),NULL,NULL,0,NULL
32634,Tonight is Yamada. One-shot adult rating;;;;;Tonight is Yamada;Konya Ga Yamada;Tonight is Yamada. Konya Ga Yamada Tonight is Yamada,(R Koga),2001,Comic Momohime,0,NULL
32564,Give me a treat.... Adults only;;;;; Give me a treat; Give me a treat...;Please give me a treat Please give me a treat,(R Koga),NULL,NULL,0,NULL
32567,Sorry... Adult content;;;; Sorry; Sorry... ; Sorry sorry sorry,(R Koga),NULL,NULL,0,NULL
32627,Saya is fine. Adults only;;;;;;Saya is fine;Saya is fine;Saya is fine. Saya is fine Saya is fine,(R Koga),NULL,NULL,0,NULL
17645,Sample Me PleaseSerialization endedAdult ratedSample Me Please;Sample Me Please;;Sample Me Please Sample Me Please Sample Me Please Sample Me Please,(R Koga),the year of 2000,Comic Paradise,0,NULL
32603,Spawning Morning Adult Only;;;; Sanran Morning; Sanran Morning; Spawning Morning Sanran Morning Sanran Morning,(R Koga),NULL,NULL,0,NULL
32629,Happy Family Game Adult rated;;;;;;Happy Family Game;Happy Family Game;Happy Family Game Happy Family Game,(R Koga),NULL,NULL,0,NULL
33187,Thoughts in Memories Adults only Thoughts in; Memories; Memories; Memories; Memories Memories Memories,(R Koga),NULL,NULL,0,NULL
84134,Homework is no masturbation. Adult designated homework is no masturbation.,(R Koga),NULL,NULL,0,NULL
32623,Ward for girls.,(R Koga),NULL,Comic Momohime,0,NULL
32628,"New dear little sister, adult rated;;;;;;new dear little sister;new dear little sister, new dear little sister, new dear little sister",(R Koga),NULL,NULL,0,NULL
32587,THE INTRESTED PARTIES Adults only;;;;;THE INTRESTED PARTIES; The Interested Parties The Interested Parties The Interested Parties,(R Koga),NULL,NULL,0,NULL
32562,"Between passion, love and desire (Adult rated);;;;;;Between passion, love and desire;Between passion, love and desire Between passion, love and desire",(R Koga),NULL,NULL,0,NULL
32607,Actress girl adult designation;;;; Actress girl; Actress girl Actress girl Adult designation,(R Koga),NULL,NULL,0,NULL
32604,Switch adult designated;;;SWITCH;swiitch;switch switch swiitch,(R Koga),NULL,NULL,0,NULL
32647,STILL ALIVE one-shot adult rated;;;;;; STILL ALIVE; STILL ALIVE STILL ALIVE STILL ALIVE,(R Koga),1999,COMIC COFFEE BREAK,0,NULL
32640,Cicada's voice Adult rated;;;;; Cicada's voice; Seminokoe; Cicada's voice Seminokoe Seminokoe,(R Koga),NULL,NULL,0,NULL
32624,No entry allowed sex base Adult designated No entry allowed sex base;Tachi-IrikinshinoEcchiKichi;;Tachi-IrikinshinoEcchiKichi Tachi-IrikinshinoEcchiKichi,(R Koga),NULL,Comic MANA,0,NULL
84124,Dash & Sex One-shot Adult Dash & Sex; Dash and Sex;; Dash and Sex Dash and Sex Dash and Sex,(R Koga),year 2012,Comic Mashou,0,NULL
32583,"Damte, adult rated;;;;damte;damte, damte, damte",(R Koga),NULL,NULL,0,NULL
32585,Small adventure Adult rated;;;;;; Small adventure; Chiisanabouken; Small adventure Chiisanabouken Small adventure,(R Koga),NULL,NULL,0,NULL
32632,Small auction itemOne-shotAdult rated;;;;;;Small auction item;Chitchana Rakusatsuhin;Small auction item Chitchanarakusatsuhin Small auction item,(R Koga),2001,Comic Momohime,0,NULL
32590,Twin Prug-inAdult Specific;;;;;Twin Prug-in;Twin Prug-in;Twin Prug-in Twin Prug-in Twin Prug-in,(R Koga),NULL,NULL,0,NULL
32563,ConnectionsAdult designated;;;;;Connections;Connections;Connections Connections Connections,(R Koga),NULL,NULL,0,NULL
32609,Call me a wife! Serialization ended. Adults only. Call me a wife! Call me a wife! Call me a wife! Call me a wife!,(R Koga),NULL,Comic Momohime,0,NULL
32635,I want to be strong. Serialization ended. Adults only. I want to be strong. I want to be strong. I want to be strong.,(R Koga),2002,Comic Momohime,0,NULL
32606,TAKEN OUT (Adults only),(R Koga),NULL,NULL,0,NULL
32589,Staying up all night studying slurping slurping (Adults only) ;;;;; Tetsuya studying slurping slurping; Tetsuya studying slurping slurping slurping; Staying up all night studying tetsuya studying slurping slurping,(R Koga),NULL,NULL,0,NULL
32656,Door to HeavenOne-shotAdult-rated Door to Heaven;Tengokuhenotobira;;Tengokuhenotobira Tengokuhenotobira Tengokuhenotobira,(R Koga),1999,Young Penguin Comic Penguin Club Special Edition,0,NULL
84136,Angel's bath Adult-only Angel's bath; Tenshino-ofuro;; Tenshi no ofuro Tenshino-ofuro Tenshi no ofuro,(R Koga),NULL,NULL,0,NULL
32639,DOLL PLAY Adults only;;;;;DOLL PLAY;Doll Play;Doll Play Doll Play Doll Play,(R Koga),NULL,NULL,0,NULL
32586,A secret sleepover party for adults only;;;;; A secret sleepover party; A secret sleepover party; A secret sleepover party; A secret sleepover party A secret sleepover party,(R Koga),NULL,NULL,0,NULL
32617,Summer farewell partyOne-shotAdult rated;;;;;;Summer farewell party;Summer farewell party Natsunoowakarekai Summer farewell party,(R Koga),2004,"Hinakan Hi! ""COMIC Tenma"" special edition",0,NULL
84123,Nantettatte Jr. RivalOne-shotAdult ratingNantettatte Jr. Rival;Nantettatte Junior Rival;;Nantettatte Juniarribaru Nantettatte Juniarribaru Nantettatte Juniarribaru,(R Koga),year 2012,Comic Mashou,0,NULL
32626,With Nya-tan☆Serialization endedAdult rated;;;;With Nya-tan;With Nya-tan☆;With Nya-tan;With Nya-tan;With Nya-tan;With Nya-tan;With Nya-tan,(R Koga),2002,Comic Momohime,0,NULL
32615,Slimy punishment game Adult rated;;;;; Slimy punishment game; Slimy punishment game Slimy punishment game Slimy punishment game,(R Koga),NULL,NULL,0,NULL
32613,Cats and forever Adults only;;;;; Cats and forever; Cat Toys Mademo; Cats and forever Cat Toys Mademo Cats and forever,(R Koga),NULL,NULL,0,NULL
32599,Happy Happy Birthday Adults Only;;;;Happy Happy Birthday;Happy Happy Birthday Happy Happy Birthday Happy Happy Birthday Happy Happy Birthday,(R Koga),NULL,NULL,0,NULL
32650,HAPPY BIRTHDAYOne-shotAdult rated;;;;;HAPPY BIRTHDAY;Happy Birthday;Happy Birthday Happy Birthday Happy Birthday,(R Koga),the year of 2000,COMIC COFFEE BREAK,0,NULL
32645,Unbridled Asahi One-shot Adult Rated Unbridled Asahi; Hadome no nai Asahi;; Hadome no nai Asahi Hadome no nai Asahi,(R Koga),the year of 2000,COMIC COFFEE BREAK,0,NULL
32592,PEAFORM ME HARD! Adult PEAFORM ME HARD!;Perform Me Hard;;Perform Me Hard Perform Me Hard,(R Koga),NULL,NULL,0,NULL
100902,The abused classroom ~ the feast of the lustful girls ~ Adult abused classroom; abused classroom; ~ the feast of the lustful girls ~; abused classroom abused classroom,(R Koga),NULL,NULL,0,NULL
32610,"Mr. Sheep was watching, adult rated;;;; Mr. Sheep was watching; Mr. Sheep was watching, Mr. Sheep was watching, Mr. Sheep was watching",(R Koga),NULL,NULL,0,NULL
84126,Pre-release Little Devil Sleeping Demon & Lewd Dream One-shot Adult Rating Pre-release Little Devil Sleeping Demon & Lewd Dream; Pre-release Little Devil Ima and Inn;; Pre-release Little Devil Ima and Inn Pre-release Little Devil Ima and Inn,(R Koga),year 2012,Comic Mashou,0,NULL
84127,New Little Devil Sleepy Demon & Lewd Dream ~2012 Winter~One-shotAdult-rated New Little Devil Sleepy Demon & Lewd Dream;New Little Devil Sleepy Demon & Lewd Dream;;~2012 Winter~;2012 Winter;New Little Devil Sleepy Demon & Lewd Dream;2012 Winter New Little Devil Sleepy Demon & Lewd Dream;2012 Winter;New Little Devil Sleepy Demon & Lewd Dream;2012 Winter;New Little Devil Sleepy Demon & Lewd Dream;2012 Winter;New Little Devil Sleepy Demon & Lewd Dream;2012 Winter;New Little Devil Sleepy Demon & Lewd Dream;2012 Winter;New Little Devil Sleepy Demon & Lewd Dream;2012 Winter;New Little Devil Sleepy Demon & Lewd Dream;2012 Winter;,(R Koga),year 2012,Comic Mashou,0,NULL
84129,New Little Devil Sleepy Demon & Lewd Dream ~2015 Autumn~One-shotAdult-rated New Little Devil Sleepy Demon & Lewd Dream;New Little Devil Sleepy Demon & Lewd Dream;;~2015 Autumn~;2015 Autumn~;2015 Autumn;New Little Devil Sleepy Demon & Lewd Dream;2015 Autumn New Little Devil Sleepy Demon & Lewd Dream;2015 Autumn New Little Devil Sleepy Demon & Lewd Dream;2015 Autumn,(R Koga),2015,Comic Mashou,0,NULL
84130,New Little Devil Sleepy Demon & Lewd Dream ~2017~One-shotAdult-rated New Little Devil Sleepy Demon & Lewd Dream;New Little Devil Sleepy Demon & Lewd Dream;;~2017~;2017;New Little Devil Sleepy Demon & Lewd Dream;2017 New Little Devil Sleepy Demon & Lewd Dream;2017 New Little Devil Sleepy Demon & Lewd Dream;2017 New Little Devil Sleepy Demon & Lewd Dream;2017 New Little Devil Sleepy Demon & Lewd Dream;2017,(R Koga),2017,Comic Mashou,0,NULL
33188,Final Ties serialization endedFinal Ties; Final Ties;;Final Ties Final Ties Final Ties,(Kimoto Inaba),1996,Young King Ours,0,NULL
32633,Fuko's After Story One-shot Adult Rating;;;;;Fuko's After Story;Fukonosonogo;Fuko's After Story Fukonosonogo Fukonosonogo,(R Koga),2001,Comic Momohime,0,NULL
84128,Private Assistant with a New Little DevilOne-shotAdult-ratedPrivate Assistant with a New Little Devil;Private Assistant with a New Little Devil;;Private Assistant with a New Little DevilPrivate Assistant with a New Little DevilPrivate Assistant with a New Little DevilPrivate Assistant with a New Little DevilPrivate Assistant with a New Little Devil,(R Koga),2014,Comic Mashou,0,NULL
32641,After School H Club serialization ended. Adult rated;;;;;; After School H Club; After School H Club After School H Club After School H Club,(R Koga),the year of 2000,Comic Momohime,0,NULL
32651,My Own Cat Ear Maid One-shot Adult Rated My Own Cat Ear Maid; My Own Cat Ear Maid;; My Own Cat Ear Maid My Own Cat Ear Maid,(R Koga),1999,COMIC COFFEE BREAK,0,NULL
32648,My Girlhood FriendOne-shotAdult My Girlhood Friend; My Girlhood Friend;;My Girlhood Friend My Girlhood Friend My Girlhood Friend,(R Koga),NULL,COMIC COFFEE BREAK,0,NULL
32612,"The festival music is coming from far away, adult only;;;;The festival music is coming from far away;Matsuribayashigatookunohode;The festival music is coming from far away, Matsuribayashigatookunohode, Matsuribayashigatookunohode",(R Koga),NULL,NULL,0,NULL
32654,Manami's love. One-shot adult rated;;;;;Manami's love;Manami's love. ;Manaminoai Manaminoai Manaminoai,(R Koga),NULL,Doujinshi,0,NULL
32653,Manami's happiness. One-shot adult rated;;;;;Manami's happiness;Manami's happiness. ;Manaminoshiawase Manaminoshiawase Manami's happiness,(R Koga),NULL,Doujinshi,0,NULL
32655,Manami's kindness. One-shot adult rated;;;;;Manami's kindness;Manami's kindness. ;Manaminoyasashisa Manaminoyasashisa Manami's kindness,(R Koga),NULL,Doujinshi,0,NULL
32644,Poolside overflowing with waterOne-shotAdult rated Poolside overflowing with water; Mizuno Afureta Poolside;; Mizuno Afureta Poolside Mizuno Afureta Poolside Mizuno Afureta Poolside,(R Koga),the year of 2000,COMIC COFFEE BREAK,0,NULL
84132,A Zashiki-warashi from a Southern Island (Adults Only) A Zashiki-warashi from a Southern Island; Minami no Shima kara Kitazashiki Warashi;; Minami no Shima kara Kitazashiki Warashi Minami no Shima kara Kitazashiki Warashi,(R Koga),NULL,NULL,0,NULL
84131,Zashiki-warashi of the Southern Islands Adult-Rated Zashiki-warashi of the Southern Islands; Minami-no-shima no Zashiki-warashi;; Minami-no-shima no Zashiki-warashi Minami-no-shima no Zashiki-warashi,(R Koga),NULL,NULL,0,NULL
32652,Kittens on the roofOne-shotAdult ratedKittens on the roof;Yanenouenokonekotachi;;Kittens on the roofYanenouenokonekotachi Kittens on the roof,(R Koga),1999,COMIC COFFEE BREAK,0,NULL
84125,Yukinko One-shot Adult Snow Girl Yukinko Yukinko,(R Koga),2013,Comic Mashou,0,NULL
32637,Dream itazura One-shot Adult rated;;;;; Dream itazura; Dream itazura Dream itazura Dream itazura,(R Koga),2002,Comic Momohime,0,NULL
32608,Hugging chicks (Adults only) Hugging chicks; Hugging chicks; Hugging chicks Hugging chicks,(R Koga),NULL,NULL,0,NULL
32636,YORIMICHIOne-shotAdult rated;;;;YORIMICHI;Yorimichi;Yorimichi Yorimichi Yorimichi,(R Koga),2001,Comic Momohime,0,NULL
32565,Night Bear Adults Only;;;;; Night Bear; Night Bear; Night Bear Night Bear Night Bear,(R Koga),NULL,NULL,0,NULL
32646,Rubing without LovingOne-shotAdult ratedRubbing without Loving;Loving without Loving;;Loving without Loving Loving without Loving Loving without Loving,(R Koga),the year of 2000,MANGA ZetuMan Absolute Satisfaction,0,NULL
32625,Adults only;;;;Rikkouho;Rikkouho Rikkouho Rikkouho,(R Koga),NULL,NULL,0,NULL
88097,Rape Master Adult Rape Master; Rape no Tatsujin Rape no Tatsujin Rape no Tatsujin,(eastbound),NULL,NULL,0,NULL
26089,V WhistlingV Whistling,Original story (Shiro Tozaki) [Illustrations: Takumi Nagayasu],NULL,NULL,0,NULL
26090,Ball speed 0.25 seconds Series end Ball speed 0.25 seconds,Original story (Sugi Shiro) [Illustrations: Mayuzuki Haruna],1970,Weekly Shonen Jump,0,NULL
40728,"The series ""General of the Alps"" has ended. The series ""General of the Alps"" has ended.",Original story (Tozaki Shiro) [Illustrations: Temu Isao],1979,Monthly Shonen Challenge,0,NULL
95334,Onga RiverEnd of serializationOnga River,(Tosaki Shiro),1977,Comic Guy,0,NULL
5222,Astro Kyudan serialization ended;;;;Astro Kyudan;Astro Kyudan;Astro Kyudan Astro Kyudan,Original story (Tozaki Shiro) [Illustrations: Nakajima Tokuhiro],1972,Weekly Shonen Jump,4.4,5 cases
43455,Otokokiba series ended Otokokiba; Otokokiba; Otokokiba Otokokiba,(Tosaki Shiro),1978,LEED Comics,0,NULL
18267,strait story;;;; strait story; strait story; strait story,Original story (Joe Shizuki) [Illustrations: Ishikawa Saburou],NULL,MANGA Allman,0,NULL
44293,Gyaanaka Heikichi series ended Gyaanaka Heikichi; Gyaanaka Heikichi;; Gyaanaka Heikichi Gyaanaka Heikichi,Original story (Tozaki Shiro) [Illustrations: Murai Kazutada],1977,Monthly Shonen Champion,0,NULL
4557,K;;;;;K;K;K K K,Original story (Shiro Tozaki) [Illustrations: Jiro Taniguchi],NULL,NULL,Five,1
69326,White Hunter series ended White Hunter; Shiroi Hunter;; Shiroi Hunter Shiroi Kariudo Shiroi Hunter Shiroi Hunter,Original author (Tozaki Shiro) [: Kojima Kazumasa],1977,Weekly Shonen Jump,0,NULL
26088,Sky Eagle;;;;;Sky Eagle;Sky Eagle Sky Eagle Sky Eagle,Original story (Tozaki Shiro) [Illustrations: Kawashima Yoshikazu],NULL,NULL,0,NULL
9091,The Frontline of Youth;;;;The Frontline of Youth;The Frontline of Youth,Original story (Tozaki Shiro) [Illustrations: Hakusho Minoru],NULL,NULL,0,NULL
36432,Nagare Tojiro Fighting Kiln serialization ended;;;; Nagare Tojiro Fighting Kiln; Nagare Tojiro Fighting Kiln; Nagare Tojiro Fighting Kiln Nagare Tojiro Fighting Kiln,Original story (Shiro Tozaki) [Illustrations: Big Joe],NULL,Weekly Manga Goraku,0,NULL
36,"The serialization of ""Hi ga Hashiru"" has ended. ""Hi ga Hashiru"" (Scarlet runs)",Original work (Joe Shizuki) [Manga: Aoiki Tetsuo],1992,Super Jump,0,NULL
10654,Fighter Gen Series End Fighter Gen; Fighter Gen; Fighter Gen Fighter Maboroshi Fighter Gen Fighter Gen,Original story (Tozaki Shiro) [Illustration by Kurosaki Hitori],1975,Monthly Shonen Jump,0,NULL
69121,"I'm going to kill you, ...",Original author (Tozaki Shiro) [: Temu Ko],NULL,Dokkan V,0,NULL
76221,Blanco Jinta one-shot Blanco Jinta; Blanco Jinta Blanco Jinta Blanco Jinta,Original work (Tozaki Shiro) [Manga: Kojima Masaharu],1979,Monthly Shonen Jump,0,NULL
26086,The Hokuto no Kishi serialization ended The Hokuto no Kishi;Hokuto no Kishi;;Hokuto no Kishi Hokuto no Kishi,Original story (Shiro Tozaki) [Illustration by Ippei Minami],1976,Weekly Shonen Jump,0,NULL
13599,Taste Ippei one-shot;;;;;Mikaku Ippei;Mikaku Ippei;Taste Ippei Mikaku Ippei Mikaku Ippei,Original story (Tozaki Shiro) [Illustrations: Horiuchi Gen],1988,Monthly Shonen Jump,0,NULL
18342,Misaki's vessels: The scarlet from then on runs serialization ends;The scarlet from then on runs;The scarlet from then on runs;Misaki's vessels;The scarlet from then on runs;Misaki's vessels;The scarlet from then on runs;Misaki's vessels;Misaki's vessels;The scarlet from then on runs;The scarlet from then on runs,Original story (Joe Shizuki) [Illustrations: Aoiki Tetsuo],1999,Oh! SUPER JUMP,0,NULL
28541,Radio-controlled wars;;;;;;Radio-controlled wars;Radio-controlled wars;Radio-controlled wars Radio-controlled wars,Original author (James Takagi) [illustrator: Akira Ishiyama],1979,Weekly Shonen Jump,0,NULL
25326,sadistic boy;;;;; sadistic boy; sadistic boy sadistic boy sadistic boy,(Tori Maia),NULL,NULL,0,NULL
52294,Sweet Mischief One-shot Sweet Mischief,(Saki Suzuki),2003,Girls Comics Special Edition,0,NULL
33186,Birthday one-shot;;;;birthday;Birthday Birthday Birthday,(Furuhari Nori),NULL,Newly drawn,0,NULL
78319,UN-GOepisode:0 Causal Theory serialization ends UN-GO; Ango;; episode:0 Causal Theory; Episode Zero Ingalon; Ango; Episode Zero Ingalon Ango Ango Episode Zero Ingalon Episode Zero Ingalon,Original work (Noboru Aikawa) [Illustration: pako],2011,Monthly Newtype,0,NULL
41867,RX-78 birth story one-shot;;;;RX-78 birth story;RX78 birth story;RX78 birth story;RX78 birth story;RX78 birth story,(Noboru Aikawa),1990,Gundam Magazine,0,NULL
72098,Karakurikidenhiwousenki Karakurikidenhiwousenki Karakurikidenhiwousenki,Original story (by Noboru Aikawa) [illustrations by Hajime Jinguji],1999,Magazine Z,0,NULL
72907,The strange steel fairy Louran serialization ended The strange steel fairy Louran;Kikousenyorouran;;Kikousenyorouran Kikousenyorouran Kikousenyorouran,Original story (Noboru Aikawa) [Manga: Unite Twins],NULL,Magazine Z,0,NULL
37309,Concrete Revolutio ~Superhuman Fantasy~ serialization ended;;;~Superhuman Fantasy~;Concrete Revolutio;Concrete Revolutio;Concrete Revolutio Concrete Revolutio Concrete Revolutio,Original story (Noboru Aikawa) [Illustrations: Nylon],2015,Young Ace,0,NULL
46910,Concrete Revolutio Choujin Gensou Gaiden Magical Girl Tenka Gomen! Concrete Revolutio Choujin Gensou Gaiden; Concrete Revolutio Choujin Gensou Gaiden; Magical Girl Tenka Gomen!; Concrete Revolutio Choujin Gensou Gaiden Concrete Revolutio Choujin Gensou Gaiden,Original work (Noboru Aikawa) [Manga: Mutsuki Nago],NULL,NULL,0,NULL
